年度：2017年		计量单位：元人民币
月份	单人间	双人间	三人间	四人间
 1	0.0     0.0     0.0     0.0     
 2	0.0     0.0     0.0     0.0     
 3	0.0     100.0   0.0     0.0     
 4	0.0     0.0     0.0     0.0     
 5	0.0     0.0     0.0     0.0     
 6	0.0     0.0     0.0     0.0     
 7	0.0     0.0     0.0     0.0     
 8	0.0     0.0     0.0     0.0     
 9	0.0     0.0     0.0     0.0     
10	0.0     0.0     0.0     0.0     
11	0.0     0.0     0.0     0.0     
12	0.0     0.0     0.0     0.0     
合计	0.0     100.0   0.0     0.0     
